STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37222868	0	CMP	SHARE	REGS	2018-09-04 18:00:49.235	2	0.926000	19000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 18:02:11.603	UK8GW3	192.168.252.2		135106	0	0	3	1027170	19000	0	0	0.000000	0.000000	4				0	228207366	0	N	3	N	N
1	37220179	0	COBU	SHARE-ATS	XRS1	2018-09-04 09:30:03.779	2	1.000000	2383	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 09:30:03.779	UK8GW3	192.168.252.2		134917	0	0	3	1031605	2383	0	0	0.000000	0.000000	0				0	227965617	0	N	3	N	N
0	37222746	0	COTE	SHARE	REGS	2018-09-04 14:22:14.711	1	87.000000	5	1	20180904	0	0	0	1	0.000000	1	1	0	16755815	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 17:10:58.411	UK8GW3	192.168.252.2		0	0	0	3	1032219	5	5	5	87.000000	87.000000	2				0	228171188	0	N	3	N	N
1	37222746	0	COTE	SHARE	REGS	2018-09-04 14:22:14.711	1	87.000000	5	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 14:22:14.711	UK8GW3	192.168.252.2		135019	0	0	3	1032219	5	0	0	0.000000	0.000000	0				0	228087388	0	N	3	N	N
0	37220435	0	COTE	SHARE	REGS	2018-09-04 09:39:04.592	1	87.000000	10	1	20180904	0	0	0	1	0.000000	1	1	0	16755323	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 14:11:00.671	UK8GW3	192.168.252.2		0	0	0	3	1002117	10	10	10	87.000000	87.000000	2				0	228082177	0	N	3	N	N
0	37221148	0	COTE	SHARE	REGS	2018-09-04 10:05:55.556	1	87.400000	18	2	0	0	0	0	1	0.000000	1	1	0	16755032	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 12:21:00.315	UK8GW3	192.168.252.2		0	0	0	3	1032642	18	18	18	87.400000	87.400000	2				0	228037386	-42	N	-42	N	N
0	37221390	0	COTE	SHARE	REGS	2018-09-04 10:34:55.939	1	87.300000	5	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 11:21:10.592	UK8GW3	192.168.252.2		134954	0	0	3	1032219	5	0	0	0.000000	0.000000	4				0	228010421	0	N	3	N	N
1	37221390	0	COTE	SHARE	REGS	2018-09-04 10:34:55.939	1	87.300000	5	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 10:34:55.939	UK8GW3	192.168.252.2		134942	0	0	3	1032219	5	0	0	0.000000	0.000000	0				0	227992332	0	N	3	N	N
1	37221148	0	COTE	SHARE	REGS	2018-09-04 10:05:55.556	1	87.400000	18	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 10:05:55.556	UK8GW3	192.168.252.2		134932	0	0	3	1032642	18	0	0	0.000000	0.000000	0				0	227973186	-42	N	-42	N	N
1	37220435	0	COTE	SHARE	REGS	2018-09-04 09:39:04.592	1	87.000000	10	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 09:39:04.592	UK8GW3	192.168.252.2		134925	0	0	3	1002117	10	0	0	0.000000	0.000000	0				0	227966277	0	N	3	N	N
